id,name,description,weight,quantity,color,brand,price,size,posted_time,author_id,product_category_id,Model,product_img1,product_img2,product_img3,product_img4
1,HUAWEI,"Screen Size	:	7.12"" (1080 x 2244) Camera	:	16 + 2 | 8 MP RAM	:	4GB Battery	:	5000 mAh Operating system	:	Android Soc	:	Qualcomm SDM636 Snapdragon 636 Processor	:	Octa",210 grams,9,Black,HUAWEI,23000,7.12inches,2022-05-16 23:47:46+06,1,1,HUAWEI ENJOY MAX,images/products/Huawei-Enjoy-Max.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
2,Duranta,"This bicycle has a strong steel frame. Its brake system is very strong, which allows you to maintain control in all situations. Its seat is adjustable, so you can change it as needed. Its front and rear wheels are fitted with mudguards so that the rider does not get mud while riding on the road.",3.5kg,5,Red & Orange,Duranta,4500,"12""",2022-05-19 22:27:33+06,1,10,Duranta Super Sports Bicycle,images/products/giant_168750.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
19,Cadillac,"Basic: 4 Years / 50000 Miles, Corrosion: 4 Years / 50000 Miles, Drivetrain: 6 Years / 70000 Miles, Roadside Assistance: 6 Years / 70000 Miles",81.1 in,6,Black,Cadillac,7441560,227 in,2022-05-17 23:10:55+06,1,20,Cadillac Escalade ESV,images/products/Cadillac_Escalade_Luxury_2022_1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
20,Aston Martin,"3 Years / Unlimited Miles Basic, 10 Years / Unlimited Miles Corrosion, 3 Years / Unlimited Miles Drivetrain, and 2 Years / Unlimited Miles Roadside Assistance Warranty.",76.7 in,0,Appletree Green,Aston Martin,24561600,186.6 in,2022-05-17 23:14:17+06,1,20,Aston Martin DB11 V8,images/products/Aston_Martin_DB11_V8_2022.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
21,Nike,you can buy the Gym Bag Traveling Bag NIKE Online in Bangladesh at best the price from our website and get home or office delivery,250 g,20,Black,Nike,800,Large,2022-05-19 21:22:01+06,1,19,Gym bag,images/products/58a6cad37fadd0fa560cbe5fb4f786f5.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
22,Ladies Backpack,Material: PU Leather 3 in 1 for total set. Size: 24*31*10cm/18*18*5cm/11*7*1cm.,1kg,5,pink,Ladies Backpack,1650,24*31*10cm/18*1,2022-05-19 21:29:26+06,1,19,Ladies Backpack and Shoulder Bag TR002,images/products/0229306_ladies-backpack-and-shoulder-bag-tr002_415.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
23,Ladies Backpack,Product color may slightly vary due to photographic lighting sources or your monitor settings.,0.65kg.,4,Pink.,Ladies Backpack,1550,27*24*13cm.,2022-05-19 21:32:27+06,1,19,Ladies Backpack and Shoulder Bag SL002,images/products/0229325_ladies-backpack-and-shoulder-bag-sl002.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
24,Lakmé,"Water proof, lasts up to 22 hrs. It is dermatologically tested & is safe for the eyes. Easy Twist up format. Can be used water line and eye lids. Deep black finish.",0.35g.,150,Black,Lakmé,350,5cm,2022-05-19 21:38:52+06,1,2,Lakmé Eyeconic Kajal Deep Black,images/products/0230263_lakme-eyeconic-kajal-deep-black-035g.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
25,Lakmé 9 to 5,Provides uv protection. Gives Smooth Coverage. Lightens Skin. Evens skin tone.,30g.,50,Honey,Lakmé,550,4.8cm,2022-05-19 21:43:20+06,1,2,Lakmé Complexion Care Cream,images/products/0230259_lakme-complexion-care-cream-honey.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
26,Hijab,Product color may slightly vary due to photographic lighting sources or your monitor settings.,200 grams,5,"Green, Pest, & Pink.",FASHION CAPITAL,650,Length- 72 Inch,2022-05-19 21:51:21+06,1,11,Hijab 3 Pieces Combo Pack PS06.,images/products/0233920_hijab-3-pieces-combo-pack-ps06.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
27,Forever Bicycle,"Mechanical dual disc brake, steel frame, 17-inch frame size, forever tire, 640mm handlebar, 3 front and 7 back gear, 26"" alloy rim.",5kg,5,"Black, Sky",Forever,11000,"17""",2022-05-19 21:54:45+06,1,10,Forever 2020 Bicycle,images/products/giant_106837.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
28,Express,"This balance bicycle is made with a strong steel frame. This bicycle has extra two wheels so that children can ride bicycles with balance. Its brake system is very strong so children can maintain control in all situations. Its seats are adjustable, so they can be adjusted to suit the needs of the children. This bicycle has a back seat so one can ride.",5kg,0,Black & Orange,Express,4500,Small,2022-05-19 22:24:59+06,1,10,Express Baby Pedal Balance Bicycle,images/products/giant_168783.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
30,Super 16,"The Super 16 is a robust baby-balanced bicycle that is ideal for kids. For their safety, it features a back seat where kids may bike comfortably with back support. It includes two additional little wheels to allow toddlers to balance on both sides. The bike frame is extremely sturdy and will not be easily broken.",8kg,9,Yellow,Super 16,4500,"12""",2022-05-19 22:30:16+06,1,10,Super 16 Heavy Baby Balanced Cycle,images/products/giant_167685.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
31,Starex 32” GS,Dynamic Mega Contrast Ratio 32-Inch Display with HD Resolution Refresh Rate- 100 Hz Warranty: 1 Year,2.5kg,10,HD (1366 x 768),Starex,15000,32-Inch,2022-05-19 22:32:47+06,1,15,Starex 32” GS Smart Android Led Tv Monitor,images/products/32-wide-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
32,Samsung 32N4010,"The dimension of this LED TV is 737.4 mm x 438 mm x 74.1 mm without a stand while the weight without a stand is 3.8 kg. Samsung 32N4010 32"" Basic HD LED Television offers No Parts Warranty but it has a 05 Year Service Warranty.",3.2kg,5,Wide Colour Enhancer,Samsung,16500,"32""",2022-05-19 22:38:23+06,1,15,"Samsung 32N4010 32"" Basic HD LED Television",images/products/32n4010-01-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
33,Haier,Miracast Screen Mirroring,2kg,2,Resolution 1366 x 768 (HD),Haier,18500,"32""",2022-05-19 22:41:52+06,1,15,Haier H32D2M 32 Inch Miracast HD Non-Smart LED Television,images/products/h32d2m-01-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
34,Motorola Moto,"Battery	 Type and Capacity	Lithium-polymer 5000 mAh (non-removable) Fast Charging	✅ 20W Fast Charging",200 grams,15,Pastel Sky,Motorola Moto,19999,6.5 inches,2022-05-16 23:57:41+06,1,1,Motorola Moto G30,images/products/motorola-moto-g30-1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
35,Tesla,Tesla All-Wheel Drive has two ultra-responsive,"75.6 in (1,920 mm)",3,Red,Tesla,4299140,187 in,2022-05-17 22:28:46+06,1,20,Model Y,images/products/Tesla_Model_Y_Standard_Range_2021.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
36,Datsun,"Cylinders 3 Cylinders Inline Valves 4 Valves/Cylinder, DOHC Max Power (BHP) 54 bhp @ 5600 rpm Max Torque (NM) 72 Nm @ 4250 rpm Mileage (ARAI) 20.71 kmpl",1574 mm,9,Orange,Datsun,551842,3435 mm,2022-05-17 23:06:46+06,1,20,Datsun redi-GO,images/products/Datsun-Go-Exterior-138944.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
37,Redmi,"OS	Android 10, MIUI 12 Chipset	Qualcomm SM7125 Snapdragon 720G (8 nm) CPU	Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver) GPU	Adreno 618",209 g,18,Aurora Blue,Xiaomi,23500,6.67 inches,2022-05-17 00:38:49+06,1,1,Xiaomi Redmi Note 9 Pro Max,images/products/Xiaomi-Redmi-Note-9-Pro-Max-Official-image.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
43,Toyota,"Engine	:4Cylinder/2487cc Transmission(Gear)	:8-Speed(Auto) Fuel Type	:Petrol-Electric",950kg,4,Sky,TOYOTA,4373960,152 in,2022-05-17 22:53:14+06,1,20,TOYOTA RAV4 HYBRID AWD,images/products/20191105_02_01_s.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
44,Realme,"Display	6.62 inches	 Primary Camera	64 MP (f/1.8 Main) + 8 MP (f/2.3 Wide Angle) + 2 MP (f/2.4	12 MP Battery	Non-removable Li-Po 5000 mAh battery	4500 mAh",199.8 g,16,Sky,Realme,31990,6.7 inches,2022-05-17 00:23:12+06,1,1,Realme GT Neo 2,images/products/realme-narzo-20.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
45,Black Panther,the Lexus LC 500 is not your ordinary car. It is extraordinary in more than one way. This grand tourer has a 5.0 L V8 engine,650kg,2,Black,Black Panther,13011600,122in,2022-05-17 22:36:17+06,1,20,Lexus LC 500,images/products/41B9rVawidL.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
47,Vivo,"microSDXC (dedicated slot) Internal	128GB 8GB RAM, 256GB 8GB RAM",171 g,5,Moonlight Sonata,Vivo,27990,6.44 inches,2022-05-17 00:42:45+06,1,1,vivo V20,images/products/13239c4e7dc8ccbc639ed14c170d5721.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
49,Nokia,"4 MB RAM, 4 MB Internal storage, Single SIM",210 grams,20,Blue,Nokia,1299,medium,2022-05-17 01:05:06+06,1,1,Nokia 105,images/products/nokia.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
53,Hyundai,"Engine	: 1368 cc Transmission(Gear)	: 6-Speed(Auto) Fuel Type	:Gasoline(Petrol)",700kg,2,Blue,Hyundai,4549000,"6' 7.09""",2022-05-17 22:58:25+06,1,20,Hyundai,images/products/images_1.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
54,iPhone,"Face ID, accelerometer, gyro, proximity, compass, barometer  	Ultra Wideband (UWB) support",228 g,5,Silver,Apple,133500,"6.7 inches, 109",2022-05-17 00:30:28+06,1,1,Apple iPhone 12 Pro Max,images/products/iph.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
55,BMW,The compact SUV can be had in two trims: SportX and xLine.,725kg,5,Pastel Sky,BMW,650000,145in,2022-05-17 22:44:11+06,1,20,BMW X1,images/products/bmw-x1-facelift-right-front-three-quarter2.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
57,Oppo,"Li-Po 4015 mAh, non-removable Charging	Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0",164 g,6,Magic Blue,Oppo,25990,6.43 inches,2022-05-17 00:54:37+06,1,1,Oppo F17 Pro,images/products/oppo.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
59,OnePlus,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",197 g,4,Forest Green,OnePlus,53500,6.7 inches,2022-05-17 01:02:29+06,1,1,OnePlus 9 Pro,images/products/oneplus-9-pro-1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
63,Ferrari,"Displacement (Cc)3,902 cc / 238.1 cu inEngine Power600 bhp / 448 kW @ 7,000 rpmTorque700 Nm / 516 ft lbs @ 6,000 rpmNo. Of Cylinders8","2,045 mm (80.5 in)",1,Red,Ferrari,34400000,"4,633 mm (182.4",2022-05-17 23:03:04+06,1,20,Ferrari 488 GT3 Evo,images/products/Ferrari_488_GT3_Evo.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
64,Samsung,"128GB 8GB RAM , 32-bit/384kHz audio",163 g,6,Cosmic Grey,Samsung,59987,"6.2 inches, 93.",2022-05-17 00:13:47+06,1,1,Samsung Galaxy S20,images/products/download_1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
65,X corolla,Drive TypeFront Wheel DriveGear BoxAutomaticSteeringSteering TypePower,800kg,13,White Pearl Crystal Shine,X Corolla,1419000,148in,2022-05-17 22:47:00+06,1,20,Toyota Corolla x,images/products/images.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
66,"Mango MGN1 32"" Borderless HD Smart Android LED Television",Smart Android LED TV is one of the largest TVs of the Chinese brand.,2.2kg,5,1920 x 1080 Full HD Resolution,Mango,20000,32 Inch,2022-05-19 23:26:45+06,1,15,"Mango MGN1 32"" Borderless HD Smart Android LED Television",images/products/mgf1-43-inch-500x500.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
67,"LG 32LK510B 32"" HD LED Television",Dynamic Color & Virtual Surround Sound Immersive home entertainment Sophisticated inside and out,1.5kg,3,Resolution 1366 x 768,LG,23000,"32""",2022-05-19 23:34:27+06,1,15,"LG 32LK510B 32"" HD LED Television",images/products/32lk510b-01-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
68,Xiaomi TV,"Processor: MSD6683, CPU: CA53 x 4, up to 1.2GHz RAM: 1.5GB, Storage: 8GB 32"" HD (1,366 x 768) display Supports Dolby Audio and DTS-HD",3.2kg,8,"Resolution 1,366 x 768 @60Hz",Xiaomi Mi,23500,"32""",2022-05-19 23:37:01+06,1,15,Xiaomi Mi P1 L32M6-6ARG/6AEU 32-Inch Smart Android HD TV with Netflix (Global Version),images/products/mi-p1-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
69,Sony Bravia  TV,"WiFi ,HDMI, RF, FM Youtube and more Built-in Wi-Fi WXGA Resolution",2.4kg,6,Resolution 1366x768,Sony Bravia,29000,"32"", 80.0 cm",2022-05-19 23:41:06+06,1,15,"Sony Bravia KDL-32W600D 32"" Smart HD LED TV",images/products/KDL_W600D-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
70,New Mini  Fan,Specifications of New Mini Rechargeable USB Charging Portable Handheld 3 Gear Speed Desktop Fan,50g,50,Pink,Fan,215,10.6*14*4.2cm,2022-05-19 23:44:40+06,1,16,New Mini Rechargeable USB Charging Portable Handheld 3 Gear Speed Desktop Fan,images/products/images_IjPbMeT.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
71,GFC Glamour Ceiling Fan,Superior quality aluminum alloy construction. Energy efficient Electrical Steel Sheet and 99.9% Pure Copper Wire.,8kg,5,white,GFC Glamour,10500,1400 mm,2022-05-19 23:49:47+06,1,16,GFC Glamour Ceiling Fan Full specifications,images/products/gfc-glamour-ceiling-fan.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
72,GFC Monet Ceiling Fan,Energy efficient Electrical Steel Sheet and 99.9% Pure Copper Wire.,1.5kg,3,white,GFC,4800,1400 mm,2022-05-19 23:54:35+06,1,16,GFC Monet Ceiling Fan,images/products/gfc-monet-ceiling-fan.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
73,Asus PC,"Processor Type : Intel Corei5-7400 Processor Speed : Up to 3.50 GHz Main Board : Intel H110 Monitor : 19.5"" HD Monitor RAM : 4 GB DDR4 2400MHz Hard Disk : 1TB 7200RPM Disk Type : HDD",5kg,7,Black,Asus,56000,"19.5"" HD Monito",2022-05-19 23:59:09+06,1,3,Asus A4321UKH Core i5 7th Gen All-In-One PC,images/products/asus-a4321ukh-core-i5-7th-gen-all-in-one-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
74,Dell PC,"Desktop Type : Gaming PC Processor Type : Intel Core i5 7th Generation 7400 Processor Speed : 6 MB Cache, 3.00 GHz Main Board : Intel H110 Chipset",5kg,5,Black,Dell,44000,"18.5"" Screen",2022-05-20 00:02:50+06,1,3,Dell Vostro 3668 Core i5 1TB HDD,images/products/dell-vostro-3668-core-i5-1tb-hdd-18-5-led-mini-tower-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
75,HP PC,Processor Type : Intel Core i3-8100T 8th Generation Processor Speed : 3.1 GHz Main Board : Intel Q370,5kg,5,Black,HP,53500,"20"" Diagonal HD",2022-05-20 00:12:37+06,1,3,HP ProOne 400 G4,images/products/hp-proone-400-g4-core-i3-8th-gen-8gb-ram-all-in-one-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
76,Apple iMac PC,"Processor	Quad Core Intel Core i5 Processor clock speed	3.4-3.8GHz Monitor	21.5 Inch 4K Retina display RAM	8GB RAM type	DDR4 2400MHz Onboard",1.5kg,3,white,Apple,152000,"Monitor	21.5 In",2022-05-20 00:16:11+06,1,3,Apple iMac,images/products/apple-imac-2017-price-in-bangladesh-2019.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
77,walton Desktop PC,"WDPC740010 - Intel B250 Express Chipset - Intel Core™ i5-7400(7th Gen), Clock Speed 3.50GHz (6MB Cache, 2 cores, 4 threads) - Intel HD Graphics 630 - 4 GB 2400MHz DDR4 Memory( Expandable Up to 32GB) - 1 TB 7200 RPM SATA HDD",3.5kg,9,Black,walton,37990,"12""",2022-05-20 00:18:51+06,1,3,walton Desktop PC WDPC740010 Full specifications,images/products/walton-desktop-pc-wdpc740010.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
78,Guitar Stand Wall Mount Hanger Hook,Specifications of Guitar Stand Wall Mount Hanger Hook Guitar Holder for Acoustic Guitar Electric Guitar Ukulele Violin Bass Guitar Ac,210 grams,12,Black,Guitar Stand Wall Mount Hanger Hook,165,NULL,2022-05-20 00:22:34+06,1,18,Guitar Stand Wall Mount Hanger Hook,images/products/3b3892e46aa4dc7d450d6640535f46ac.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
79,Casio keyboard SA 46,32 Mini Keys 8-Note Polyphony 50 Play Along Tracks 5 Drum Pads Headphones Output,1.5kg,3,Black & Green,Casio,3400,"12""",2022-05-20 00:27:01+06,1,18,Casio keyboard SA 46,images/products/1593810065.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
80,Fernedes Atlas 5x-2008 Bass Guitar,Alder Body/Maple Neck Bolt On Neck 21 Fret fingerboard,1.5kg,6,Red,Fernedes Atlas 5x-2008 Bass Guitar,24400,"34"" Scale",2022-05-20 00:28:28+06,1,18,Fernedes Atlas 5x-2008 Bass Guitar,images/products/1593078622.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
81,Sennheiser EW135P-G4 wireless Microphone,"A broadcast quality sound solution. Providing the highest flexibility for your outdoor shoots and field recording applications. A robust wireless microphone system that offers excellent sound quality, simple mounting and ease of use.",200 grams,0,Black,Sennheiser,46000,up to 100 meter,2022-05-20 00:30:44+06,1,18,Sennheiser EW135P-G4 wireless Microphone,images/products/1610340229.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
82,Melody 3.5 Octave Stick Harmoniam,"-3.5 octaves, 42 keys in total   the superb quality of sound",5kg,4,Red,Melody,17000,"12""",2022-05-20 00:33:45+06,1,18,Melody 3.5 Octave Stick Harmoniam,images/products/1593689592.JPG,images/floric.jpg,images/floric.jpg,images/floric.jpg
83,Melody Tablya Baya,original neem wood tabla,2.5 kg baya,4,natural,Melody Tablya Baya,6500,NULL,2022-05-20 00:36:56+06,1,18,Melody Tablya Baya,images/products/1592111661.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
84,Skmei watch,Product Types: Smart Watch Brand : SKMEI Model Number: Skmei 1481 Style: Sport,50g,5,Black,Skmei,1550,NULL,2022-05-20 00:40:14+06,1,13,Skmei 1481 Digital Watch,images/products/7dccb268ea04dd31b9442e5a927189ae.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
85,Haylou Smart Watch,Smart Watch,55 g,3,Black,Haylou Smart Watch,3050,45.7 x 45.7 x 1,2022-05-20 00:47:20+06,1,13,Haylou Smart Watch LS10 RT2,images/products/112ad63724517e25058826dad7a5205a.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
86,Xiaomi Mi Band 6 CN,Smart Band,22g,16,Black,Xiaomi Mi Band,3100,"1.56"" display",2022-05-20 00:50:46+06,1,13,Xiaomi Mi Band 6 CN,images/products/3a20198c6a33dc727a15a8b0d5e3d86c.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
